strain,date
A/Texas/1/1977,1/1/77
A/Colorado/2/1986,1/1/86
A/Atlanta/3572/1988,1/1/88
A/Atlanta/211/1989,1/1/89
A/Memphis/2/1990,1/1/90
A/Memphis/5/1990,1/1/90
A/Oklahoma/5/1988,1/1/88
A/Memphis/1/71,1/1/71
A/Memphis/102/72,1/1/72
A/Memphis/33/1983,1/1/83
A/Memphis/105/1976,1/1/76
A/Memphis/2/85,1/1/85
A/Memphis/8/1988,1/1/88
A/Memphis/5/1986,1/1/86
A/Memphis/12/1985,1/1/85
A/Memphis/2/1986,1/1/86
A/Albany/11/1968,1/1/68
A/Albany/1/1969,1/1/69
A/Albany/19/1968,1/1/68
A/Albany/3/1969,1/1/69
A/Albany/14/1978,1/1/78
A/Memphis/16/1978,1/1/78
A/Memphis/3/1986,1/1/86
A/Albany/18/1968,1/1/68
A/Albany/42/1975,1/1/75
A/Albany/2/1970,1/1/70
A/Albany/20/1974,1/1/74
A/Albany/4/1977,1/1/77
A/Albany/17/1968,1/1/68
A/Albany/6/1970,1/1/70
A/Memphis/3/1971,1/1/71
A/Albany/15/1976,1/1/76
A/Albany/4/1969,1/1/69
A/Albany/10/1968,1/1/68
A/Albany/1/1976,1/1/76
A/Albany/6/1968,1/1/68
A/Memphis/104/1976,1/1/76
A/Albany/1/1970,1/1/70
A/Albany/3/1970,1/1/70
A/Memphis/66/1986,1/1/86
A/Memphis/109/1972,1/1/72
A/Memphis/1/1986,1/1/86
A/Memphis/1/90,1/1/90
A/Memphis/13/1988,1/1/88
A/Memphis/1/1968,1/1/68
A/Memphis/2/1971,1/1/71
A/Memphis/2/78,1/1/78
A/Memphis/12/1978,1/1/78
A/Memphis/18/1978,1/1/78
A/Memphis/101/1974,1/1/74
A/Memphis/137/1976,1/1/76
A/Memphis/1/1977,1/1/77
A/Memphis/3/1977,1/1/77
A/Memphis/3/1973,1/1/73
A/Memphis/102/1974,1/1/74
A/Memphis/103/1974,1/1/74
A/Memphis/110/76,1/1/76
A/Memphis/5/1977,1/1/77
A/Memphis/103/1976,1/1/76
A/Memphis/9/1980,1/1/80
A/Memphis/19/1978,1/1/78
A/Memphis/4/1980,1/1/80
A/Memphis/1/1981,1/1/81
A/Memphis/2/1977,1/1/77
A/Memphis/4/1977,1/1/77
A/Memphis/5/85,1/1/85
A/Memphis/103/1972,1/1/72
A/Memphis/3/1980,1/1/80
A/Memphis/1/1980,1/1/80
A/Memphis/25/1985,1/1/85
A/Memphis/101/1972,1/1/72
A/Memphis/105/1972,1/1/72
A/Memphis/106/1976,1/1/76
A/Memphis/108/1976,1/1/76
A/Memphis/7/1985,1/1/85
A/Memphis/11/1986,1/1/86
A/Memphis/5/1988,1/1/88
A/Memphis/15/1988,1/1/88
A/Memphis/7/1990,1/1/90
